shell_length_mm,breeding_group,Year
50,0,2018
40,0,2018
36,0,2018
25,0,2018
29,0,2018
19,0,2018
43,0,2018
22,0,2018
15,0,2018
17,0,2018
20,0,2018
13,0,2018
26,0,2018
47,0,2018
41,0,2018
42,0,2018
29,0,2018
34,0,2018
32,0,2018
38,0,2018
44,0,2018
40,0,2018
33,0,2018
28,0,2018
32,0,2018
35,0,2018
16,0,2018
34,0,2018
29,0,2018
11,0,2018
32,0,2018
25,0,2018
19,0,2018
36,0,2018
38,0,2018
37,0,2018
32,0,2018
47,0,2018
38,0,2018
18,0,2018
36,0,2018
51,0,2018
38,0,2018
27,0,2018
39,0,2018
32,0,2018
40,0,2018
30,0,2018
19,0,2018
16,0,2018
22,0,2018
15,0,2018
27,0,2018
40,0,2018
48,0,2018
31,0,2018
43,0,2018
46,0,2018
30,0,2018
41,0,2018
35,0,2018
40,0,2018
36,0,2018
30,0,2018
33,0,2018
40,0,2018
23,0,2018
43,0,2018
40,0,2018
14,0,2018
21,0,2018
18,0,2018
24,0,2018
34,0,2018
42,0,2018
41,0,2018
20,0,2018
32,0,2018
27,0,2018
24,0,2018
47,0,2018
32,0,2018
35,0,2018
26,0,2018
34,0,2018
16,0,2018
31,0,2018
27,0,2018
28,0,2018
20,0,2018
32,0,2018
17,0,2018
17,0,2018
35,0,2018
39,0,2018
42,0,2018
29,0,2018
25,0,2018
19,0,2018
33,0,2018
36,0,2018
35,0,2018
41,0,2018
26,0,2018
25,0,2018
25,0,2018
32,0,2018
14,0,2018
37,0,2018
18,0,2018
15,0,2018
23,0,2018
28,0,2018
19,0,2018
15,0,2018
45,0,2018
37,0,2018
24,0,2018
14,0,2018
35,0,2018
38,0,2018
30,0,2018
23,0,2018
30,0,2018
27,0,2018
17,0,2018
32,0,2018
24,0,2018
18,0,2018
19,0,2018
19,0,2018
15,0,2018
44,0,2018
37,0,2018
38,0,2018
35,0,2018
18,0,2018
28,0,2018
17,0,2018
32,0,2018
38,0,2018
30,0,2018
33,0,2018
14,0,2018
39,0,2018
28,0,2018
29,0,2018
13,0,2018
29,0,2018
18,0,2018
17,0,2018
18,0,2018
29,0,2018
11,0,2018
51,0,2018
32,0,2018
24,0,2018
19,0,2018
33,0,2018
43,0,2018
35,0,2018
36,0,2018
24,0,2018
34,0,2018
13,0,2018
22,0,2018
19,0,2018
33,0,2018
15,0,2018
25,0,2018
28,0,2018
22,0,2018
18,0,2018
22,0,2018
42,0,2018
16,0,2018
31,0,2018
24,0,2018
36,0,2018
14,0,2018
53,0,2018
31,0,2018
37,0,2018
13,0,2018
36,0,2018
26,0,2018
16,0,2018
38,0,2018
36,0,2018
33,0,2018
26,0,2018
31,0,2018
26,0,2018
34,0,2018
39,0,2018
45,0,2018
41,0,2018
39,0,2018
35,0,2018
45,0,2018
53,0,2018
34,0,2018
45,0,2018
42,0,2018
37,0,2018
23,0,2018
49,0,2018
22,0,2018
37,0,2018
39,0,2018
36,0,2018
20,0,2018
20,0,2018
42,0,2018
49,0,2018
17,0,2018
49,0,2018
38,0,2018
37,0,2018
34,0,2018
39,0,2018
31,0,2018
39,0,2018
40,0,2018
19,0,2018
33,0,2018
31,0,2018
37,0,2018
28,0,2018
35,0,2018
25,0,2018
29,0,2018
25,0,2018
41,0,2018
35,0,2018
34,0,2018
33,0,2018
34,0,2018
37,0,2018
39,0,2018
51,0,2018
40,0,2018
40,0,2018
37,0,2018
37,0,2018
33,0,2018
39,0,2018
34,0,2018
34,0,2018
25,0,2018
34,0,2018
35,0,2018
25,0,2018
28,0,2018
16,0,2018
39,0,2018
41,0,2018
32,0,2018
32,0,2018
44,0,2018
48,0,2018
32,0,2018
45,0,2018
42,0,2018
39,0,2018
35,0,2018
24,0,2018
32,0,2018
35,0,2018
23,0,2018
33,0,2018
27,0,2018
39,0,2018
53,0,2018
31,0,2018
32,0,2018
28,0,2018
45,0,2018
35,0,2018
35,0,2018
41,0,2018
43,0,2018
40,0,2018
36,0,2018
28,0,2018
35,0,2018
24,0,2018
19,0,2018
35,0,2018
33,0,2018
31,0,2018
30,0,2018
28,0,2018
50,0,2018
44,0,2018
39,0,2018
42,0,2018
36,0,2018
36,0,2018
54,0,2018
40,0,2018
34,0,2018
50,0,2018
37,0,2018
29,0,2018
38,0,2018
32,0,2018
40,0,2018
36,0,2018
36,0,2018
23,0,2018
30,0,2018
31,0,2018
39,0,2018
40,0,2018
41,0,2018
35,0,2018
40,0,2018
44,0,2018
42,0,2018
52,0,2018
38,0,2018
38,0,2018
35,0,2018
22,0,2018
38,0,2018
35,0,2018
32,0,2018
30,0,2018
36,0,2018
32,0,2018
27,0,2018
33,0,2018
32,0,2018
46,0,2018
28,0,2018
27,0,2018
37,0,2018
38,0,2018
24,0,2018
41,0,2018
41,0,2018
36,0,2018
43,0,2018
45,0,2018
42,0,2018
41,0,2018
21,0,2018
34,0,2018
26,0,2018
34,0,2018
29,0,2018
32,0,2018
27,0,2018
30,0,2018
35,0,2018
37,0,2018
43,0,2018
31,0,2018
34,0,2018
40,0,2018
42,0,2018
42,0,2018
24,0,2018
37,0,2018
38,0,2018
41,0,2018
38,0,2018
40,0,2018
32,0,2018
27,0,2018
36,0,2018
30,0,2018
45,0,2018
43,0,2018
39,0,2018
22,0,2018
33,0,2018
39,0,2018
39,0,2018
40,0,2018
32,0,2018
40,0,2018
37,0,2018
34,0,2018
12,0,2018
29,0,2018
31,0,2018
21,0,2018
27,0,2018
39,0,2018
26,0,2018
35,0,2018
46,0,2018
34,0,2018
38,0,2018
35,0,2018
42,0,2018
19,0,2018
33,0,2018
28,0,2018
23,0,2018
15,0,2018
31,0,2018
29,0,2018
41,0,2018
25,0,2018
33,0,2018
35,0,2018
22,0,2018
33,0,2018
35,0,2018
37,0,2018
41,0,2018
44,0,2018
42,0,2018
40,0,2018
38,0,2018
39,0,2018
37,0,2018
37,0,2018
33,0,2018
39,0,2018
39,0,2018
34,0,2018
40,0,2018
22,0,2018
38,0,2018
36,0,2018
38,0,2018
26,0,2018
17,0,2018
40,0,2018
42,0,2018
35,0,2018
34,0,2018
38,0,2018
33,0,2018
21,0,2018
32,0,2018
33,0,2018
18,0,2018
23,0,2018
31,0,2018
27,0,2018
38,0,2018
34,0,2018
28,0,2018
23,0,2018
37,0,2018
35,0,2018
15,0,2018
30,0,2018
49,0,2018
22,0,2018
20,0,2018
30,0,2018
32,0,2018
19,0,2018
43,0,2018
42,0,2018
35,0,2018
20,0,2018
22,0,2018
21,0,2018
46,0,2018
31,0,2018
26,0,2018
32,0,2018
37,0,2018
19,0,2018
20,0,2018
45,0,2018
34,0,2018
34,0,2018
35,0,2018
33,0,2018
30,0,2018
40,0,2018
41,0,2018
21,0,2018
17,0,2018
34,0,2018
38,0,2018
22,0,2018
33,0,2018
25,0,2018
35,0,2018
24,0,2018
33,0,2018
38,0,2018
36,0,2018
22,0,2018
35,0,2018
32,0,2018
36,0,2018
24,0,2018
41,0,2018
33,0,2018
45,0,2018
48,0,2018
38,0,2018
34,0,2018
35,0,2018
31,0,2018
32,0,2018
42,0,2018
35,0,2018
37,0,2018
39,0,2018
17,0,2018
32,0,2018
39,0,2018
40,0,2018
36,0,2018
38,0,2018
34,0,2018
18,0,2018
36,0,2018
34,0,2018
23,0,2018
18,0,2018
44,0,2018
38,0,2018
44,0,2018
26,0,2018
43,0,2018
33,0,2018
37,0,2018
37,0,2018
28,0,2018
31,0,2018
29,0,2018
35,0,2018
46,0,2018
43,0,2018
30,0,2018
30,0,2018
39,0,2018
34,0,2018
26,0,2018
34,0,2018
33,0,2018
20,0,2018
40,0,2018
35,0,2018
40,0,2018
31,0,2018
38,0,2018
26,0,2018
20,0,2018
40,0,2018
46,0,2018
37,0,2018
34,0,2018
36,0,2018
44,0,2018
19,0,2018
38,0,2018
27,0,2018
21,0,2018
35,0,2018
20,0,2018
33,0,2018
42,0,2018
40,0,2018
20,0,2018
35,0,2018
31,0,2018
39,0,2018
27,0,2018
30,0,2018
36,0,2018
36,0,2018
46,0,2018
40,0,2018
40,0,2018
28,0,2018
42,0,2018
28,0,2018
39,0,2018
16,0,2018
40,0,2018
27,0,2018
38,0,2018
48,0,2018
25,0,2018
19,0,2018
16,0,2018
39,0,2018
45,0,2018
44,0,2018
31,0,2018
20,0,2018
34,0,2018
18,0,2018
20,0,2018
18,0,2018
20,0,2018
11,0,2018
21,0,2018
35,0,2018
30,0,2018
51,0,2018
38,0,2018
37,0,2018
53,0,2018
21,0,2018
24,0,2018
16,0,2018
20,0,2018
18,0,2018
17,0,2018
25,0,2018
33,0,2018
37,0,2018
29,0,2018
32,0,2018
32,0,2018
22,0,2018
20,0,2018
22,0,2018
16,0,2018
35,0,2018
15,0,2018
16,0,2018
36,0,2018
38,0,2018
50,0,2018
37,0,2018
38,0,2018
27,0,2018
24,0,2018
19,0,2018
13,0,2018
31,0,2018
17,0,2018
24,0,2018
32,0,2018
29,0,2018
40,0,2018
43,0,2018
33,0,2018
36,0,2018
31,0,2018
29,0,2018
17,0,2018
39,0,2018
18,0,2018
18,0,2018
36,0,2018
35,0,2018
43,0,2018
31,0,2018
36,0,2018
24,0,2018
28,0,2018
18,0,2018
20,0,2018
33,0,2018
21,0,2018
19,0,2018
35,0,2018
28,0,2018
35,0,2018
29,0,2018
29,0,2018
27,0,2018
16,0,2018
22,0,2018
18,0,2018
36,0,2018
32,0,2018
18,0,2018
32,0,2018
39,0,2018
28,0,2018
38,0,2018
29,0,2018
32,0,2018
27,0,2018
13,0,2018
14,0,2018
21,0,2018
26,0,2018
20,0,2018
29,0,2018
49,0,2018
28,0,2018
38,0,2018
12,0,2018
19,0,2018
27,0,2018
15,0,2018
21,0,2018
29,0,2018
33,0,2018
15,0,2018
44,0,2018
38,0,2018
34,0,2018
22,0,2018
21,0,2018
26,0,2018
12,0,2018
21,0,2018
25,0,2018
25,0,2018
15,0,2018
